name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
109 Psc b,Confirmed,5.743,1.152,1075.4,2.051,0.104,0.1,"Radial Velocity, Astrometry",2000-01-01
51 Eri Ab,Confirmed,4.1,1.11,10260.0,11.1,0.49,-0.027,Imaging,2015-01-01
51 Peg b,Confirmed,0.47,1.9,4.2308,0.052,0.0069,0.18,Radial Velocity,1995-01-01
55 Cnc Ae,Confirmed,0.02703,0.1737,0.7365478,0.015439,0.028,0.35,"Radial Velocity, Primary Transit",2004-01-01
AF Lep b,Confirmed,3.75,1.3,8875.0,8.98,0.013,0.19,Imaging,2023-01-01
BD+20 594 b,Confirmed,0.07,0.23,41.6855,0.241,0.0,-0.15,Primary Transit,2016-01-01
CoRoT-10 b,Confirmed,2.75,0.97,13.2406,0.1055,0.53,0.26,Primary Transit,2010-01-01
CoRoT-11 b,Confirmed,2.33,1.43,2.994325,0.04351,0.0,0.04,Primary Transit,2010-01-01
CoRoT-12 b,Confirmed,0.917,1.44,2.8280517,0.04016,0.07,0.16,Primary Transit,2010-01-01
CoRoT-13 b,Confirmed,1.308,0.885,4.0350906,0.051,0.0,0.01,Primary Transit,2010-01-01
CoRoT-14 b,Confirmed,7.6,1.09,1.51214,0.027,0.0,0.05,Primary Transit,2010-01-01
CoRoT-15 b,Confirmed,63.4,1.12,3.06036,0.045,0.0,0.1,Primary Transit,2010-01-01
CoRoT-16 b,Confirmed,0.535,1.17,5.35227,0.0618,0.33,0.19,Primary Transit,2010-01-01
CoRoT-17 b,Confirmed,2.43,1.02,3.768125,0.0461,0.0,0.0,Primary Transit,2010-01-01
CoRoT-18 b,Confirmed,3.47,1.31,1.90009057,0.0295,0.08,-0.1,Primary Transit,2011-01-01
CoRoT-19 b,Confirmed,1.11,1.29,3.8971372,0.0518,0.047,-0.02,Primary Transit,2011-01-01
CoRoT-1 b,Confirmed,1.03,1.49,1.50896848,0.0254,0.0,0.06,Primary Transit,2007-01-01
CoRoT-20 b,Confirmed,4.24,0.84,9.2431839,0.0902,0.562,0.14,Primary Transit,2011-01-01
CoRoT-21 b,Confirmed,2.26,1.3,2.72474,0.0417,0.0,0.0,Primary Transit,2011-01-01
CoRoT-22 b,Confirmed,0.06,0.4354,9.75598,0.092,0.077,0.17,Primary Transit,2011-01-01
CoRoT-23 b,Confirmed,2.8,1.08,3.6314,0.0477,0.16,0.05,Primary Transit,2011-01-01
CoRoT-24 b,Confirmed,0.018,0.33,5.1134,0.056,0.0,0.3,Primary Transit,2011-01-01
CoRoT-24 c,Confirmed,0.088,0.44,11.759,0.098,0.0,0.3,Primary Transit,2011-01-01
CoRoT-26 b,Confirmed,0.52,1.26,4.20474,0.0526,0.0,0.01,Primary Transit,2012-01-01
CoRoT-27 b,Confirmed,10.39,1.007,3.57532,0.0476,0.065,0.1,Primary Transit,2012-01-01
